,Sentiment
146,Negative
469391,Positive
269555,Negative
148930,Negative
252169,Positive
313182,Negative
209775,Positive
88534,Positive
64643,Negative
135619,Negative
350743,Positive
33852,Negative
301625,Positive
251916,Negative
208085,Positive
92226,Negative
101072,Positive
399704,Positive
123267,Negative
347897,Positive
230856,Negative
506059,Positive
381716,Positive
112924,Negative
433680,Positive
163199,Negative
151402,Positive
469938,Positive
453961,Positive
80295,Positive
219288,Positive
451094,Positive
407269,Negative
350595,Positive
172726,Negative
326,Negative
48161,Negative
150651,Negative
319208,Negative
221970,Negative
482931,Positive
65582,Positive
493194,Negative
355032,Negative
88850,Positive
513173,Negative
252297,Negative
193441,Positive
437367,Positive
100257,Negative
47914,Negative
115601,Negative
156828,Positive
417337,Negative
476943,Negative
319486,Negative
137387,Positive
245387,Positive
279859,Positive
50866,Negative
169353,Negative
263086,Positive
460261,Positive
378354,Negative
216437,Negative
379799,Positive
155032,Negative
302351,Negative
41292,Positive
46306,Negative
463766,Positive
40613,Positive
262540,Negative
19919,Positive
214975,Positive
136116,Negative
262190,Positive
358358,Positive
114864,Positive
205551,Negative
158120,Positive
156297,Negative
65902,Negative
468755,Positive
330210,Positive
105581,Negative
346876,Positive
24174,Positive
496703,Positive
286367,Positive
256757,Positive
300358,Positive
402366,Negative
170035,Positive
144392,Negative
473552,Negative
491406,Negative
115909,Negative
290265,Positive
84646,Positive
492998,Negative
164967,Negative
195696,Negative
337070,Negative
109945,Negative
97207,Positive
162358,Negative
154724,Positive
132677,Positive
10711,Positive
440564,Negative
74117,Positive
159671,Positive
2634,Negative
346017,Positive
389643,Negative
141584,Negative
413018,Positive
295919,Negative
123793,Negative
32190,Negative
312006,Positive
41036,Positive
94173,Positive
281047,Positive
204946,Negative
203489,Negative
451588,Positive
267979,Negative
236978,Positive
155276,Negative
104260,Positive
509838,Negative
424295,Positive
50499,Positive
494813,Negative
266531,Negative
207558,Positive
353241,Positive
22835,Positive
499674,Positive
504891,Positive
187093,Negative
65586,Negative
212160,Negative
242420,Negative
383379,Positive
366729,Positive
494792,Negative
4665,Positive
512099,Negative
242149,Positive
201147,Positive
242988,Negative
266787,Negative
279494,Positive
64333,Negative
482766,Negative
5114,Negative
112379,Negative
73365,Negative
120505,Positive
114923,Positive
112981,Negative
500209,Positive
186175,Negative
238574,Positive
200785,Negative
246011,Positive
379150,Positive
224319,Positive
154254,Negative
115458,Negative
401232,Positive
263391,Positive
250024,Negative
149064,Negative
68982,Negative
187488,Positive
268449,Positive
230583,Negative
396748,Positive
143848,Positive
404615,Positive
7782,Negative
375995,Positive
311162,Positive
344522,Negative
297826,Positive
99768,Negative
396758,Negative
51040,Positive
466069,Positive
460727,Positive
257577,Negative
203525,Negative
509787,Negative
150051,Negative
355118,Negative
257593,Positive
138698,Positive
287051,Negative
309648,Negative
262425,Positive
337383,Positive
430946,Positive
222399,Negative
334096,Negative
171079,Positive
165956,Negative
461759,Negative
398977,Positive
500235,Negative
374331,Positive
449887,Positive
10672,Positive
465166,Negative
66478,Negative
229508,Negative
89916,Positive
454148,Positive
4227,Negative
411172,Negative
186909,Negative
313271,Negative
11775,Negative
323364,Negative
491739,Negative
60353,Positive
69950,Negative
67139,Negative
241975,Positive
207272,Negative
355145,Negative
158838,Positive
95797,Positive
239704,Negative
89238,Positive
387132,Negative
309448,Negative
105190,Negative
340056,Positive
14288,Positive
411081,Positive
498146,Negative
363452,Negative
198651,Positive
365312,Positive
471640,Negative
205260,Negative
266146,Positive
244553,Positive
367637,Negative
437231,Positive
78323,Negative
490792,Negative
510256,Positive
277244,Negative
290948,Positive
307745,Negative
466204,Positive
155783,Positive
168708,Negative
317514,Positive
149719,Positive
470537,Negative
174307,Negative
456946,Negative
371724,Negative
64279,Positive
263970,Negative
385376,Negative
38280,Positive
127050,Negative
139044,Positive
411459,Negative
7136,Positive
3163,Negative
110541,Positive
350772,Positive
57643,Negative
95657,Negative
407218,Positive
243374,Positive
403819,Positive
12418,Positive
464139,Positive
53416,Positive
291354,Positive
120707,Positive
260837,Negative
23153,Positive
230598,Negative
232930,Negative
299,Negative
307706,Negative
339158,Negative
507648,Negative
167162,Positive
131180,Positive
231703,Positive
8422,Negative
87381,Negative
1422,Positive
418121,Positive
191160,Negative
430805,Negative
95664,Positive
490295,Positive
323347,Negative
260525,Positive
243302,Negative
180879,Positive
308,Positive
194916,Negative
480830,Negative
459168,Positive
221879,Negative
128276,Negative
265237,Positive
233175,Negative
242543,Negative
339458,Negative
305087,Negative
96697,Positive
65926,Negative
250923,Positive
512053,Negative
476742,Positive
68338,Positive
209889,Negative
65675,Negative
323712,Negative
277309,Negative
40513,Positive
357221,Positive
137792,Positive
24609,Negative
312210,Positive
214482,Negative
230799,Negative
221003,Negative
330786,Positive
11571,Negative
279503,Negative
395259,Negative
43979,Negative
314072,Positive
428315,Positive
338643,Positive
151575,Positive
400751,Negative
290729,Positive
495847,Positive
220983,Negative
359864,Negative
322747,Negative
354905,Positive
61393,Positive
421771,Positive
61575,Positive
309515,Negative
39331,Negative
100923,Positive
129678,Negative
185765,Negative
457119,Positive
420915,Negative
282536,Positive
332889,Positive
248380,Positive
134609,Negative
340176,Positive
432278,Negative
264900,Positive
341568,Positive
376174,Negative
276907,Negative
302787,Negative
317098,Negative
474562,Positive
128246,Negative
188977,Positive
465420,Positive
177539,Positive
273633,Negative
24062,Positive
364909,Negative
243195,Negative
393067,Negative
363873,Negative
229334,Negative
464308,Negative
264102,Positive
371680,Negative
420412,Positive
67279,Positive
119731,Positive
256929,Positive
281908,Negative
32352,Negative
8304,Positive
310326,Positive
495085,Positive
336362,Negative
304043,Positive
281012,Negative
320941,Positive
171469,Positive
64158,Negative
105004,Negative
321632,Negative
122500,Positive
280427,Negative
245867,Positive
68796,Negative
51829,Negative
395756,Negative
498366,Positive
259297,Negative
388,Negative
9276,Negative
204738,Positive
439973,Positive
402936,Positive
453588,Positive
234196,Negative
480394,Negative
82653,Negative
321855,Negative
183795,Negative
204690,Positive
252594,Positive
104222,Negative
115401,Negative
65985,Positive
144031,Negative
116979,Positive
204900,Negative
112072,Negative
354484,Negative
18577,Negative
225021,Negative
112464,Negative
334783,Positive
512109,Negative
4993,Negative
371888,Negative
115374,Negative
205448,Negative
279689,Negative
483948,Positive
81476,Positive
158819,Positive
87386,Negative
109048,Positive
398886,Positive
337516,Negative
189627,Positive
419414,Negative
218383,Positive
48071,Positive
490069,Negative
46891,Positive
267546,Positive
295423,Negative
269819,Negative
21814,Negative
71962,Positive
132017,Positive
310719,Positive
510508,Positive
130397,Positive
435249,Negative
269511,Negative
64788,Negative
104177,Negative
456445,Positive
127075,Positive
124421,Positive
155836,Negative
189975,Positive
120624,Positive
452733,Negative
497833,Negative
374413,Positive
331116,Negative
319841,Negative
232936,Negative
36929,Positive
332290,Positive
242404,Negative
272630,Positive
103504,Negative
78276,Negative
481006,Positive
207607,Negative
95032,Positive
482517,Positive
226316,Positive
462363,Negative
178859,Positive
135637,Positive
343196,Positive
255197,Negative
321863,Positive
162379,Negative
151425,Negative
385939,Negative
333977,Positive
283323,Positive
393300,Negative
138666,Positive
113030,Negative
283020,Positive
270906,Positive
55701,Positive
286317,Positive
26543,Negative
193698,Positive
215371,Negative
473454,Negative
217962,Positive
384649,Positive
66201,Negative
164285,Negative
135395,Negative
433311,Positive
58241,Positive
63225,Positive
240434,Positive
344445,Negative
8026,Negative
196135,Positive
398165,Negative
63042,Negative
15695,Positive
362086,Positive
233191,Negative
106351,Positive
475845,Negative
104294,Positive
112989,Negative
226999,Negative
144155,Negative
114153,Negative
231088,Positive
273448,Positive
121269,Negative
250486,Negative
164304,Positive
429552,Negative
260450,Positive
367146,Positive
151311,Negative
34612,Negative
302981,Negative
185532,Positive
410980,Positive
30961,Positive
358963,Positive
140070,Negative
113401,Negative
117543,Positive
503620,Negative
390061,Negative
178638,Positive
457092,Negative
246529,Negative
328302,Negative
238483,Positive
499325,Negative
40774,Negative
427639,Negative
112306,Negative
267089,Negative
314068,Positive
478485,Negative
373190,Positive
497600,Negative
440794,Positive
110153,Negative
415012,Positive
7124,Positive
493265,Negative
279990,Positive
48077,Negative
481014,Negative
316224,Positive
481355,Negative
308271,Negative
145359,Positive
160886,Positive
504932,Negative
503455,Negative
359579,Negative
336917,Negative
308336,Positive
64246,Positive
69591,Negative
35600,Positive
113076,Negative
137330,Positive
137640,Positive
78650,Positive
190825,Positive
89233,Negative
154987,Negative
422034,Positive
478448,Negative
137575,Positive
490144,Positive
341317,Positive
396178,Positive
44998,Negative
102054,Positive
353821,Positive
203101,Positive
8717,Negative
457678,Negative
234818,Negative
496298,Negative
139474,Positive
172736,Positive
279712,Positive
225192,Negative
144368,Positive
406665,Negative
9635,Positive
481489,Negative
180230,Negative
178300,Positive
67159,Negative
406593,Negative
415345,Positive
360852,Positive
271127,Negative
452896,Negative
72327,Negative
498446,Positive
466863,Positive
511034,Positive
476500,Positive
66679,Negative
461449,Positive
190627,Positive
496537,Negative
161359,Negative
29513,Positive
61525,Negative
76436,Negative
217103,Positive
126113,Negative
19245,Positive
467200,Positive
156187,Negative
171903,Negative
152228,Positive
490880,Negative
461027,Negative
63118,Positive
205236,Negative
327728,Positive
112495,Negative
92004,Positive
430799,Positive
482210,Positive
488128,Positive
267068,Negative
131039,Negative
494842,Negative
68545,Negative
305674,Positive
304614,Negative
121897,Positive
366107,Negative
64312,Negative
338684,Negative
15140,Positive
164626,Positive
485313,Negative
332838,Positive
271448,Positive
449314,Positive
264521,Positive
348596,Negative
113758,Negative
204585,Positive
168907,Negative
375795,Positive
56926,Positive
333059,Negative
79004,Negative
242747,Negative
138873,Negative
425715,Positive
54722,Positive
498486,Negative
128872,Negative
254281,Negative
412043,Negative
99521,Positive
15084,Positive
262968,Negative
204795,Negative
385006,Negative
242671,Negative
243533,Positive
192476,Positive
346509,Negative
207876,Negative
134694,Negative
64774,Negative
245917,Positive
391502,Positive
388943,Positive
279401,Positive
70488,Negative
194116,Positive
478015,Positive
329594,Negative
392941,Positive
347421,Positive
363489,Positive
507063,Positive
195070,Negative
328891,Negative
95963,Negative
51059,Negative
508916,Negative
332670,Positive
461935,Negative
445830,Positive
122648,Positive
209228,Positive
255174,Negative
436915,Negative
160418,Positive
417829,Positive
326584,Positive
319457,Negative
503693,Negative
208325,Positive
255890,Positive
339803,Positive
59404,Positive
93056,Positive
13834,Positive
500996,Positive
501093,Positive
410934,Positive
205600,Negative
502702,Negative
167401,Positive
162197,Positive
77589,Negative
223955,Positive
61850,Negative
499079,Negative
254394,Negative
351728,Negative
478286,Negative
30070,Negative
231000,Negative
309428,Positive
68557,Negative
91646,Negative
3410,Negative
60188,Negative
257823,Positive
456899,Negative
259579,Positive
483234,Positive
323557,Negative
486653,Negative
64296,Negative
459301,Positive
205244,Negative
233961,Positive
93296,Positive
68856,Positive
367596,Positive
214078,Negative
370494,Positive
120142,Positive
102564,Negative
458169,Positive
85927,Positive
507507,Negative
439839,Positive
294827,Negative
140624,Positive
482646,Negative
207720,Positive
356455,Positive
229587,Negative
449017,Positive
294414,Positive
447050,Positive
74560,Positive
278076,Positive
5656,Negative
81229,Positive
452969,Negative
310094,Positive
5286,Positive
51153,Positive
242161,Positive
499612,Positive
143145,Positive
164642,Positive
333644,Negative
489309,Negative
104323,Negative
157432,Positive
229548,Positive
233916,Positive
454642,Positive
350353,Negative
69718,Negative
276520,Negative
66364,Negative
373320,Negative
514815,Positive
424869,Positive
65425,Negative
43369,Positive
311725,Positive
492818,Negative
275300,Positive
510849,Negative
373757,Negative
339273,Positive
205042,Negative
299491,Negative
141919,Positive
268661,Negative
242925,Positive
479447,Negative
329348,Negative
256529,Positive
49938,Negative
203002,Negative
441472,Negative
28003,Negative
252722,Negative
214092,Negative
191269,Negative
351064,Positive
69085,Positive
240427,Negative
153112,Positive
41912,Negative
413632,Negative
58744,Positive
406991,Positive
39113,Positive
173288,Negative
421058,Positive
292024,Positive
377352,Positive
42260,Positive
250909,Positive
89787,Positive
229982,Negative
39553,Positive
230862,Positive
333898,Positive
230301,Negative
479344,Negative
344425,Positive
135757,Negative
373378,Negative
314681,Positive
114478,Negative
428054,Negative
390402,Positive
373033,Positive
289131,Negative
313625,Positive
300208,Negative
8182,Negative
513841,Negative
343518,Negative
22804,Negative
242941,Negative
131172,Negative
334099,Negative
6067,Positive
114613,Negative
183784,Negative
165592,Positive
316854,Negative
445076,Negative
193847,Positive
504048,Positive
282574,Negative
8813,Negative
290227,Positive
438786,Positive
72187,Negative
198080,Positive
429252,Positive
306876,Positive
418910,Positive
510375,Negative
38918,Negative
198315,Positive
42464,Positive
293888,Positive
35854,Positive
9470,Negative
102158,Negative
106548,Negative
182335,Negative
214188,Negative
366213,Negative
213902,Negative
150061,Negative
485400,Negative
195967,Negative
56386,Positive
222322,Negative
13255,Negative
411886,Negative
414222,Positive
192450,Positive
455011,Positive
190412,Negative
326018,Negative
317652,Positive
68011,Negative
359356,Negative
94101,Negative
299104,Positive
62696,Negative
131163,Negative
211471,Positive
385761,Negative
485392,Negative
37773,Negative
273341,Negative
176285,Negative
168461,Positive
232976,Negative
46015,Negative
189425,Positive
510652,Positive
10307,Negative
157902,Negative
244493,Negative
413716,Positive
409502,Negative
510317,Positive
128033,Negative
476854,Negative
43496,Negative
126305,Negative
440634,Negative
56073,Positive
243880,Negative
91966,Negative
425577,Negative
48986,Positive
325541,Negative
412239,Negative
67097,Negative
353961,Positive
471197,Positive
33522,Negative
2738,Negative
300377,Positive
242514,Negative
159350,Negative
79291,Negative
357104,Negative
461304,Negative
257444,Positive
175832,Negative
426560,Positive
361170,Negative
46117,Negative
115361,Negative
108176,Negative
497796,Negative
117534,Positive
206173,Negative
2461,Negative
418901,Negative
166375,Positive
92152,Negative
96239,Positive
287667,Positive
356722,Positive
387595,Positive
297276,Negative
385142,Positive
156938,Positive
426546,Negative
313091,Negative
244790,Positive
209520,Negative
288445,Positive
463730,Negative
255812,Positive
265537,Negative
78139,Negative
417040,Negative
239889,Positive
260110,Positive
115568,Negative
66498,Negative
514585,Positive
457382,Positive
293861,Positive
362383,Negative
513524,Negative
322112,Positive
60345,Negative
456956,Negative
5305,Positive
236626,Positive
142893,Positive
407651,Negative
122859,Positive
182996,Positive
437235,Negative
506848,Negative
184694,Positive
180437,Negative
3606,Negative
368220,Negative
431756,Negative
121167,Positive
213750,Positive
135232,Negative
238786,Positive
308818,Positive
326819,Negative
171993,Negative
26494,Negative
286427,Negative
225782,Positive
68942,Negative
77400,Negative
77801,Positive
49019,Positive
168803,Positive
399171,Positive
489744,Positive
155071,Negative
206874,Positive
329291,Negative
237233,Positive
123338,Positive
135084,Positive
479652,Positive
427499,Negative
146121,Positive
297477,Negative
195879,Negative
371548,Negative
98784,Negative
241162,Negative
168047,Positive
245442,Negative
239777,Positive
74718,Negative
482676,Negative
456497,Positive
96642,Negative
451067,Positive
475690,Negative
149101,Negative
158431,Negative
398934,Positive
460464,Negative
338910,Positive
155190,Negative
363564,Positive
213914,Negative
181383,Positive
193606,Positive
417554,Positive
432417,Positive
346852,Negative
32865,Negative
44555,Positive
120037,Positive
191767,Positive
386561,Negative
479993,Negative
430680,Positive
301965,Positive
378988,Negative
227856,Negative
8925,Positive
284281,Positive
319047,Positive
242717,Negative
504957,Negative
429303,Positive
431776,Positive
140509,Positive
144244,Negative
97519,Positive
134555,Negative
459706,Negative
190002,Negative
272116,Positive
337887,Positive
247272,Positive
286982,Negative
76377,Negative
335429,Positive
323454,Negative
101334,Positive
41991,Negative
213813,Negative
265099,Negative
80035,Negative
183475,Negative
110038,Positive
121717,Negative
403908,Negative
224375,Positive
82747,Positive
370020,Positive
45405,Positive
278659,Positive
193371,Positive
197472,Negative
202585,Negative
351273,Negative
20781,Positive
197184,Positive
202991,Positive
17439,Positive
291846,Positive
371748,Positive
213883,Negative
462894,Positive
479800,Positive
202394,Positive
388731,Positive
184615,Positive
134684,Positive
265307,Negative
437010,Positive
333047,Positive
66367,Negative
206514,Negative
271785,Negative
484674,Negative
238546,Positive
434387,Negative
389107,Negative
236284,Positive
303535,Negative
446189,Negative
2066,Positive
476167,Positive
162611,Positive
24845,Negative
298150,Positive
124852,Negative
437065,Positive
505115,Negative
3119,Positive
133301,Negative
104388,Negative
435315,Negative
368244,Positive
183185,Positive
269478,Negative
108865,Positive
198692,Positive
116466,Positive
382580,Negative
358444,Positive
162933,Negative
2869,Negative
333425,Negative
416591,Positive
341091,Positive
229484,Negative
375954,Negative
194585,Negative
476006,Positive
232722,Negative
313348,Negative
280205,Negative
109868,Positive
458885,Positive
4137,Negative
217282,Positive
480807,Negative
197916,Positive
270915,Negative
445106,Negative
389818,Negative
80699,Positive
477906,Positive
416160,Positive
255034,Positive
497806,Positive
484914,Negative
159104,Negative
206322,Positive
84602,Negative
188752,Positive
265563,Negative
49849,Positive
194732,Negative
294630,Positive
196384,Negative
123949,Negative
134039,Positive
110340,Positive
71466,Negative
418036,Positive
105494,Positive
278635,Positive
260510,Positive
334738,Negative
452757,Negative
397771,Positive
187258,Positive
342839,Positive
42594,Positive
420469,Positive
64524,Negative
118391,Negative
483440,Negative
450884,Negative
225326,Negative
168780,Negative
12306,Negative
495546,Negative
315058,Negative
281666,Positive
110974,Positive
144380,Negative
217829,Negative
379254,Negative
180346,Negative
65660,Negative
493567,Positive
359199,Positive
116468,Negative
194566,Negative
425478,Negative
211428,Negative
63471,Positive
35443,Positive
150497,Positive
224018,Positive
217644,Positive
148771,Negative
119970,Positive
149023,Positive
259092,Positive
441073,Negative
263412,Negative
462619,Positive
444767,Positive
142977,Positive
267372,Negative
321266,Positive
308413,Positive
28382,Positive
472136,Negative
177059,Positive
87587,Positive
67114,Negative
221841,Positive
481231,Positive
382928,Positive
110981,Positive
157924,Negative
384956,Negative
326313,Positive
117954,Negative
207564,Positive
498089,Positive
422284,Positive
331045,Positive
171527,Positive
392694,Negative
371298,Negative
452425,Negative
37022,Negative
33260,Positive
197318,Negative
46553,Negative
42829,Positive
288935,Positive
190753,Negative
205751,Positive
206295,Negative
437956,Negative
152472,Positive
413917,Positive
164050,Negative
453142,Positive
424581,Positive
9254,Positive
179575,Positive
60346,Positive
93457,Positive
74327,Positive
387629,Negative
248571,Negative
405804,Positive
289923,Positive
33288,Negative
278462,Negative
313874,Positive
475680,Positive
164025,Negative
496210,Negative
441023,Negative
172866,Negative
493363,Negative
354941,Negative
159498,Negative
403448,Positive
261857,Positive
262957,Positive
210293,Negative
186357,Positive
382445,Positive
233477,Positive
112597,Negative
101398,Negative
413964,Negative
88688,Positive
9911,Positive
287103,Negative
321886,Positive
452975,Positive
77020,Positive
390789,Negative
41878,Positive
108963,Positive
499147,Negative
123398,Positive
185023,Positive
169240,Negative
